gruppo,code,color
5YR,3/1,very dark gray
5YR,3/2,dark reddish brown
5YR,3/3,dark reddish brown
5YR,3/4,dark reddish brown
5YR,4/1,dark gray
5YR,4/2,dark reddish gray
5YR,4/3,reddish brown
5YR,4/4,reddish brown
5YR,4/6,yellowish red
5YR,5/1,gray
5YR,5/2,reddish gray
5YR,5/3,reddish brown
5YR,5/4,reddish brown
5YR,5/6,yellowish red
5YR,5/8,yellowish red
5YR,6/1,gray
5YR,6/2,pinkish gray
5YR,6/3,light reddish brown
5YR,6/4,light reddish brown
5YR,6/6,reddish yellow
5YR,6/8,reddish yellow
5YR,7/1,light gray
5YR,7/2,pinkish gray
5YR,7/3,pink
5YR,7/4,pink
5YR,7/6,reddish yellow
5YR,7/8,reddish yellow
5YR,8/1,white
5YR,8/2,pinkish white
5YR,8/3,pink
5YR,8/4,pink
7.5YR,2.5/1,black
7.5YR,2.5/2,very dark brown
7.5YR,2.5/3,very dark brown
7.5YR,3/1,very dark gray
7.5YR,3/2,dark brown
7.5YR,3/3,dark brown
7.5YR,3/4,dark brown
7.5YR,4/1,dark gray
7.5YR,4/2,brown
7.5YR,4/3,brown
7.5YR,4/4,brown
7.5YR,4/6,strong brown
7.5YR,5/1,gray
7.5YR,5/2,brown
7.5YR,5/3,brown
7.5YR,5/4,brown
7.5YR,5/6,strong brown
7.5YR,5/8,strong brown
7.5YR,6/1,gray
7.5YR,6/2,pinkish gray
7.5YR,6/3,light brown
7.5YR,6/4,light brown
7.5YR,6/6,reddish yellow
7.5YR,6/8,reddish yellow
7.5YR,7/1,light gray
7.5YR,7/2,pinkish gray
7.5YR,7/3,pink
7.5YR,7/4,pink
7.5YR,7/6,reddish yellow
7.5YR,7/8,reddish yellow
7.5YR,8/1,white
7.5YR,8/2,pinkish white
7.5YR,8/3,pink
7.5YR,8/4,pink
7.5YR,8/6,reddish yellow
10R,2.5/1,reddish black
10R,2.5/2,very dusky red
10R,3/1,dark reddish gray
10R,3/2,dusky red
10R,3/3,dusky red
10R,3/4,dusky red
10R,3/6,dark red
10R,4/1,dark reddish gray
10R,4/2,weak red
10R,4/3,weak red
10R,4/4,weak red
10R,4/6,red
10R,4/8,red
10R,5/1,reddish gray
10R,5/2,weak red
10R,5/3,weak red
10R,5/4,weak red
10R,5/6,red
10R,5/8,red
10R,6/1,reddish gray
10R,6/2,pale red
10R,6/3,pale red
10R,6/4,pale red
10R,6/6,light red
10R,6/8,light red
10R,7/1,light gray
10R,7/2,pale red
10R,7/3,pale red
10R,7/4,pale red
10R,7/6,light red
10R,7/8,light red
10R,8/1,white
10R,8/2,pinkish white
10R,8/3,pink
10R,8/4,pink
10YR,2/1,black
10YR,2/2,very dark brown
10YR,3/1,very dark gray
10YR,3/2,very dark grayish brown
10YR,3/3,dark brown
10YR,3/4,dark yellowish brown
10YR,3/6,dark yellowish brown
10YR,4/1,dark gray
10YR,4/2,dark grayish brown
10YR,4/3,brown
10YR,4/4,dark yellowish brown
10YR,4/6,dark yellowish brown
10YR,5/1,gray
10YR,5/2,grayish brown
10YR,5/3,brown
10YR,5/4,yellowish brown
